127.0.0.1 - - [30/Aug/2023:15:32:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:32:57 +0530] "GET /test/ HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:32:57 +0530] "GET /test/allmatreal/2.jpg HTTP/1.1" 200 1253225
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:32:57 +0530] "GET /test/allmatreal/1.jpg HTTP/1.1" 200 2718315
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:32:57 +0530] "GET /test/allmatreal/style.css HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:32:57 +0530] "GET /test/allmatreal/3.jpg HTTP/1.1" 200 941766
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:32:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:17 +0530] "GET /test/login.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:27 +0530] "GET /test/login.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:39 +0530] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:39 +0530] "GET /test/admin.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:39 +0530] "GET /test/allmatreal/admin.jpg HTTP/1.1" 200 1036897
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:44 +0530] "GET /test/add_job.jsp HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:49 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:52 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:33:54 +0530] "GET /test/add_job.jsp HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:34:05 +0530] "POST /test/add_job HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:34:05 +0530] "GET /test/add_job.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:35:56 +0530] "GET /test/ HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:35:59 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:00 +0530] "GET /test/add_job.jsp HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:01 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:01 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:02 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:02 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:05 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:06 +0530] "GET /test/index.jsp HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:07 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:36:08 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 2503
