127.0.0.1 - - [14/Sep/2023:17:31:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/ HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/allmatreal/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/allmatreal/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/allmatreal/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/allmatreal/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/allmatreal/r.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:32 +0530] "GET /test/allmatreal/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:31:50 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:32:16 +0530] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:32:17 +0530] "GET /test/home.jsp HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:32:29 +0530] "GET /test/edit_profile.jsp HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:33:46 +0530] "GET /test/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:33:46 +0530] "GET /test/login.jsp HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:33:53 +0530] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:33:54 +0530] "GET /test/admin.jsp HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:33:54 +0530] "GET /test/allmatreal/admin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:33:58 +0530] "GET /test/add_job.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:22 +0530] "POST /test/add_job HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:22 +0530] "GET /test/add_job.jsp HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:26 +0530] "GET /test/viewjob.jsp HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:41 +0530] "GET /test/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:41 +0530] "GET /test/login.jsp HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:47 +0530] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:47 +0530] "GET /test/home.jsp HTTP/1.1" 200 7849
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:34:53 +0530] "GET /test/one_view.jsp?id=15 HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:46 +0530] "GET /test/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:46 +0530] "GET /test/login.jsp HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:52 +0530] "GET /test/admin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:52 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:56 +0530] "GET /test/index.jsp HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:58 +0530] "GET /test/viewjob.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:35:58 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:36:04 +0530] "GET /test/index.jsp HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:36:37 +0530] "GET /test/index.jsp HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:36:42 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:36:47 +0530] "GET /test/signup.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Sep/2023:17:36:48 +0530] "GET /test/index.jsp HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:08:09 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:08:11 +0530] "GET /test/index.jsp HTTP/1.1" 200 11110
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:08:34 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:08:40 +0530] "GET /test/signup.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:13 +0530] "POST /test/add_user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:13 +0530] "GET /test/signup.jsp HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:15 +0530] "POST /test/add_user HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:15 +0530] "GET /test/signup.jsp HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:21 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:34 +0530] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:35 +0530] "GET /test/login.jsp HTTP/1.1" 200 4050
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:47 +0530] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:47 +0530] "GET /test/home.jsp HTTP/1.1" 200 7842
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:09:59 +0530] "GET /test/one_view.jsp?id=1 HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:10:11 +0530] "GET /test/edit_profile.jsp HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:10:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:10:38 +0530] "GET /test/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:10:38 +0530] "GET /test/login.jsp HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:10:58 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:11:30 +0530] "GET /test/login.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:11:34 +0530] "GET /test/signup.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [14/Sep/2023:18:11:35 +0530] "GET /test/index.jsp HTTP/1.1" 200 11110
